,Topics,Cwm,Bangor,Llansadwrn,Swansea,Roch,Cardiff
0,Data Science,0.0,0.0,0.0,0.054024586699661266,0.0,0.39197839016532016
1,Data cloud,0.0,0.0,0.0,0.0,0.0,0.3102312725288641
2,Data management,0.0,0.0,0.0,0.0,0.0,0.15860696989517706
3,Digital,0.0,0.0,0.0,0.0,0.0,0.10135574132628752
4,Functional programming,0.0,0.0,0.0,0.0,0.0,0.0
5,Game Development,0.0,0.0,0.0,0.0,0.0,0.0
6,Marketing,0.0,0.0,0.0,0.0,0.35090723687795305,0.150388815804837
7,Mobile development,0.0,0.0,0.08249457739608937,0.0,0.0,0.08249457739608937
8,Project Management,0.0,0.0,0.0,0.6729843025775002,0.0,1.003773197064746
9,Security & DIY,0.0,0.0,0.10681689016457596,0.0,0.0,0.0
10,Startups & Mobile tech,0.07634927679778603,0.0,0.0,0.0,0.0,0.08652918037082416
11,User design,0.0,0.0,0.0,0.923904790828335,0.0,0.1879128388125427
12,Web ,0.06661649580359581,0.4396688723037324,0.039969897482157485,0.039969897482157485,0.0,0.5530945591586549
13,Web Development - Generic,0.0,0.0,0.0,0.05796488018841452,0.13525138710630052,0.7496791171034944
14,Web dev - Technical,0.09220250073023263,0.6085365048195355,0.0,0.5839491712914735,0.0,0.27968091888170565
